"row"	"position"	"week"	"transect"	"cluster"	"newCluster"
"1"	"28"	1	28	"control"	"1"	"1"
"2"	"28"	2	28	"control"	"1"	"1"
"3"	"28"	3	28	"control"	"3"	"2"
"4"	"28"	2	28	"control"	"1"	"1"
"5"	"28"	3	28	"control"	"3"	"2"
"6"	"28"	8	28	"control"	"2"	"3"
"7"	"28"	6	28	"control"	"2"	"3"
"8"	"28"	8	28	"control"	"2"	"3"
"9"	"28"	10	28	"control"	"2"	"3"
"10"	"28"	2	28	"control"	"1"	"1"
"11"	"28"	8	28	"control"	"2"	"3"
"12"	"28"	3	28	"control"	"3"	"2"
"13"	"28"	5	28	"control"	"3"	"2"
"14"	"28"	1	28	"control"	"1"	"1"
"15"	"28"	8	28	"control"	"2"	"3"
